eventid,driverid,speed,lat,lon,eventdate,eventtime
94,135,18,41.2290466,24.8816753,1/31/2019,10:45 PM
95,237,19,7.8023204,6.733343,7/8/2019,2:52 AM
96,23,22,43.61812,118.05545,12/27/2019,10:57 AM
97,263,70,41.5817519,21.0005869,2/10/2019,9:47 PM
98,123,58,36.639033,114.462061,2/6/2019,6:04 PM
99,10,45,41.0832289,-7.8225565,8/11/2019,12:09 AM
100,98,9,16.5065381,105.5943388,5/26/2019,11:26 AM
101,203,78,55.024145,30.8005553,3/27/2019,1:06 PM
102,120,25,35.1972586,132.5026207,11/23/2019,2:42 PM
103,217,54,31.627447,121.022581,1/27/2019,7:06 PM
104,261,3,13.1277417,122.9790773,6/18/2019,6:12 AM
105,47,41,31.899413,102.224653,12/18/2019,10:01 PM
106,166,67,18.2051988,-71.0924706,3/12/2019,1:07 PM
107,180,70,-7.71725,108.07666,6/28/2019,11:08 PM
108,92,9,59.8509005,17.6300093,11/30/2019,3:23 PM
109,136,71,50.2318521,12.8719616,5/6/2019,12:53 AM
110,80,41,52.5168356,6.1433403,6/22/2019,4:49 PM
111,135,53,50.9427305,39.4789854,1/25/2019,12:18 PM
112,107,3,14.4819896,120.9807211,6/24/2019,1:25 PM
113,57,50,-6.147133,106.6232359,9/16/2019,9:50 PM
114,211,37,34.6982972,69.2758336,8/16/2019,5:07 AM
115,96,16,48.3940341,28.4034797,9/27/2019,7:45 AM
116,247,60,-18.6476779,-173.9836854,8/10/2019,8:44 AM
117,67,59,38.853468,121.2502,7/7/2019,6:56 PM
118,83,43,44.2641474,2.0928189,3/9/2019,1:37 AM
119,54,11,4.2904513,9.4144962,10/10/2019,1:13 AM
120,15,42,38.070311,114.411459,8/11/2019,7:40 AM
121,71,28,51.2472392,4.4403455,11/12/2019,2:07 AM
122,80,62,43.6410973,51.1985113,6/27/2019,8:26 AM
123,133,22,33.3594755,35.5889282,12/20/2019,11:37 PM
124,135,55,7.0402446,134.256193,12/15/2019,3:22 AM
125,190,40,48.73808,-69.08478,3/4/2019,9:23 PM
126,192,22,19.2933162,-70.2583451,4/30/2019,12:28 AM
127,59,8,55.07917,22.97583,12/27/2019,10:36 PM
128,229,9,39.109563,117.223371,12/9/2019,7:29 PM
129,132,73,-21.4096214,25.5858711,5/29/2019,1:43 AM
130,39,7,19.4137276,-102.0662939,3/24/2019,11:27 PM
131,182,57,19.9348887,-72.8308692,8/19/2019,1:27 AM
132,213,9,-20.3170872,57.5265289,2/7/2019,11:39 PM
133,262,2,-6.7387737,106.8768415,3/23/2019,5:57 AM
134,279,13,-8.8714,121.0852,1/2/2020,5:05 PM
135,210,38,56.0349544,35.9510395,2/19/2019,10:42 PM
136,16,24,28.714796,115.730847,3/24/2019,2:41 PM
137,233,13,27.6673175,114.4109921,8/15/2019,4:40 AM
138,144,73,22.585397,113.38492,4/20/2019,2:29 AM
139,53,8,29.5530941,118.9353968,4/16/2019,3:07 AM
140,278,29,50.404585,20.9948039,2/4/2019,8:28 AM
141,164,18,38.5370103,140.8544636,11/19/2019,6:58 AM
142,33,38,41.150307,-8.197896,4/7/2019,9:17 PM
143,102,46,40.1851386,44.0033056,3/8/2019,12:48 AM
144,2,43,46.5222421,15.6550008,1/27/2019,4:59 PM
145,146,29,51.8891035,5.9269366,3/24/2019,7:25 AM
146,102,24,12.530434,122.287602,10/22/2019,11:18 AM
147,37,52,32.458113,-116.9193767,9/1/2019,11:38 PM
148,66,44,37.7668391,21.3383382,6/10/2019,8:16 AM
149,191,71,13.460196,144.715468,8/26/2019,11:35 AM
150,81,36,38.2739241,15.5562304,1/7/2020,7:53 AM
151,127,39,-3.3939043,120.3608455,1/28/2019,10:49 AM
152,176,20,23.7322067,-99.1829833,5/24/2019,5:40 PM
153,216,12,-11.2049412,-39.4035876,6/15/2019,12:44 AM
154,195,66,68.7934376,16.5129687,5/18/2019,8:02 PM
155,77,31,-43.3937074,147.2679116,8/26/2019,6:20 PM
156,284,13,10.5839407,125.1861057,3/24/2019,7:41 AM
157,96,19,37.2284208,21.6360085,8/4/2019,4:44 AM
158,33,18,-26.1026584,27.6952713,11/24/2019,6:56 PM
159,186,31,26.577837,118.746284,4/29/2019,4:01 PM
160,65,41,13.2836618,-61.2466754,6/3/2019,10:54 PM
161,64,64,16.2725431,107.9394761,11/14/2019,2:24 AM
162,286,74,44.9981985,39.1148294,2/1/2019,11:52 AM
163,126,77,34.5000218,135.6006995,8/9/2019,12:52 AM
164,16,69,40.5895257,46.3271378,8/20/2019,5:02 AM
165,52,2,16.6482598,101.0118776,3/15/2019,8:47 PM
166,57,77,-2.5082067,112.1787896,12/5/2019,2:57 AM
167,272,9,15.6662632,121.0126662,8/14/2019,11:51 PM
168,238,78,20.928394,110.627776,4/26/2019,6:24 PM
169,206,5,15.4418966,-61.2583352,4/26/2019,5:34 AM
170,223,70,-34.6255137,-58.4322185,12/15/2019,12:29 PM
171,127,38,-19.8428824,-44.6064582,5/21/2019,2:31 PM
172,250,50,16.2426241,101.9348069,4/9/2019,10:05 PM
173,97,16,49.9469881,18.1870189,6/21/2019,11:08 AM
174,11,11,23.634675,112.44069,1/25/2019,10:03 AM
175,274,58,-7.428179,108.7437098,3/26/2019,6:18 PM
176,84,19,42.6210627,20.8905019,2/26/2019,11:35 PM
177,297,70,39.224791,117.135488,3/12/2019,6:40 AM
178,100,17,41.3199734,-7.9720237,3/18/2019,7:02 AM
179,124,67,14.6688068,121.1138058,4/10/2019,5:47 PM
180,268,46,29.461194,110.152436,7/11/2019,5:41 PM
181,227,59,-6.9726393,110.7629067,5/7/2019,10:16 AM
182,1,27,31.364902,108.249509,7/30/2019,1:59 AM
183,231,5,53.806868,-9.1327273,4/20/2019,1:01 AM
184,192,21,31.3483956,121.3971642,7/14/2019,9:37 AM
185,55,47,14.1175166,105.8547173,10/28/2019,7:49 AM
186,216,13,55.6777952,12.5751597,3/11/2019,7:19 AM
187,261,2,34.7757093,134.7206721,10/13/2019,10:39 AM
188,266,22,53.3788422,-1.4730092,10/19/2019,6:34 PM
189,184,34,14.657758,120.9888316,8/9/2019,7:08 PM
190,205,79,-19.157438,-45.4447859,12/20/2019,11:29 PM
191,45,7,18.601533,100.980225,4/21/2019,6:07 AM
192,166,27,9.4779595,-82.5943072,5/4/2019,1:34 PM
193,281,11,47.5612569,7.5655743,4/3/2019,2:11 PM
194,247,24,23.142017,113.242025,10/5/2019,9:59 PM
195,97,5,-15.1266347,39.2687161,8/14/2019,1:07 AM
196,297,36,8.1607397,-75.1078332,1/7/2020,5:11 AM
197,274,53,43.7563619,16.6204644,3/29/2019,12:09 PM
198,192,35,37.467686,121.153674,3/13/2019,3:08 PM
199,227,70,40.2442315,44.6342209,5/3/2019,10:10 PM
200,1,8,45.7249153,-73.4913241,6/25/2019,9:19 PM
201,17,55,-15.8916202,-52.2618826,12/11/2019,10:35 AM
202,291,39,49.8501369,21.894173,12/23/2019,2:48 PM
203,191,59,46.948612,18.95016,8/1/2019,6:07 PM
204,293,51,43.6410973,51.1985113,12/12/2019,5:03 AM
205,147,40,-8.2545915,123.7154467,7/2/2019,7:16 AM
206,273,19,4.5422628,-73.0169135,5/22/2019,8:36 AM
207,271,1,25.464681,99.541236,4/6/2019,2:04 AM
208,9,61,23.725445,116.209841,9/20/2019,12:16 AM
209,202,7,5.2351338,-75.8346203,5/28/2019,4:29 PM
210,279,41,17.0521348,121.7050399,3/26/2019,3:29 AM
211,200,57,52.1701159,4.4833003,6/4/2019,7:01 AM
212,55,23,28.512467,111.034516,5/9/2019,5:28 PM
213,150,76,9.5259166,45.5346307,6/26/2019,5:01 AM
214,15,17,11.8514489,3.6547195,7/13/2019,12:30 AM
215,87,25,-4.4864625,-73.5947459,12/12/2019,4:28 PM
216,11,23,53.5723256,17.8871923,5/3/2019,9:18 AM
217,4,23,35.8939566,117.9249002,4/9/2019,2:21 PM
218,244,36,60.994897,71.8982957,3/14/2019,9:53 PM
219,72,64,24.874132,118.675675,1/1/2020,7:46 PM
220,69,18,35.1684393,138.6660042,6/10/2019,9:40 PM
221,210,14,53.7217952,40.0305734,5/1/2019,4:41 AM
222,175,2,5.255183,96.06085,10/17/2019,1:13 PM
223,10,44,47.9848822,23.9117575,7/9/2019,2:00 AM
224,284,64,37.005017,114.683863,2/5/2019,5:50 PM
225,79,42,-22.5698961,-49.0817124,6/15/2019,9:29 AM
226,166,2,33.46444,126.31833,3/30/2019,9:34 AM
227,207,59,13.7172042,-89.7473837,3/5/2019,1:36 AM
228,228,51,-8.3207,123.4638,8/16/2019,2:45 PM
229,17,27,10.297315,123.89885,9/1/2019,11:15 AM
230,178,28,-27.3863909,-56.8479781,3/7/2019,1:03 PM
231,105,79,39.495941,63.85672,5/23/2019,2:23 PM
232,255,78,6.4360112,-73.28833,10/12/2019,10:07 PM
233,271,33,21.6071636,105.1492869,7/1/2019,11:14 AM
234,195,79,2.886246,-75.433419,11/1/2019,1:38 PM
235,235,71,53.9732574,123.9092222,9/29/2019,2:32 PM
236,229,75,9.029518,1.4168974,6/7/2019,5:50 AM
237,183,24,53.3347733,-6.2427004,11/19/2019,1:50 PM
238,51,53,-7.5957387,108.2881709,1/8/2020,3:01 AM
239,280,14,18.2382167,-72.0690372,12/21/2019,1:35 PM
240,143,66,-17.4474874,-66.3438275,3/21/2019,8:05 PM
241,136,39,28.9141178,120.0531443,8/23/2019,7:39 AM
242,287,22,43.4945737,5.8978018,8/4/2019,2:56 PM
243,105,2,-34.7647679,-55.738391,1/18/2019,3:24 AM
244,77,30,6.14444,125.70083,12/19/2019,9:26 PM
245,226,18,36.097577,114.392392,11/22/2019,8:06 AM
246,181,15,43.03596,-82.1616,3/23/2019,3:45 PM
247,247,49,53.84455,18.09998,1/26/2019,3:34 PM
248,8,15,60.0557978,24.4154907,6/26/2019,2:26 AM
249,153,38,-20.3253713,-48.310855,12/24/2019,10:07 PM
250,43,47,56.1629286,13.8037716,5/10/2019,4:07 AM
251,290,17,40.5047756,-8.529346,11/10/2019,11:11 PM
252,105,20,38.6407826,-9.0955246,11/24/2019,4:02 PM
253,278,25,41.6569962,-8.4356533,2/12/2019,6:45 PM
254,10,56,47.747805,87.51972,3/16/2019,8:30 AM
255,98,78,33.144724,116.208635,7/28/2019,6:40 AM
256,54,44,41.9854144,44.108411,9/2/2019,8:57 PM
257,76,20,-7.76929,114.2241895,5/27/2019,8:00 PM
258,53,57,40.9515138,-8.5904113,2/17/2019,5:03 PM
259,96,33,14.34399,45.72623,8/6/2019,6:38 AM
260,291,48,49.91678,-109.48481,5/20/2019,7:34 AM
261,241,67,23.1497287,113.3227193,5/16/2019,12:31 PM
262,229,18,44.1497667,43.4577689,12/8/2019,7:40 AM
263,35,72,19.5056005,-98.882461,12/17/2019,10:44 AM
264,253,65,37.8336281,-122.2029832,9/20/2019,5:34 AM
265,229,4,40.1912987,44.384146,9/6/2019,10:48 PM
266,43,61,51.6878774,23.1996378,4/1/2019,8:21 AM
267,51,72,60.0557978,24.4154907,10/12/2019,8:35 AM
268,12,17,41.5752196,26.2288126,12/12/2019,6:17 PM
269,265,48,38.7527042,-9.3330417,5/12/2019,8:05 AM
270,66,73,8.4430125,-82.3777335,7/29/2019,12:29 PM
271,1,56,-8.516612,113.8822686,2/28/2019,3:42 PM
272,43,54,-6.7769318,-43.0226015,4/23/2019,8:22 AM
273,90,47,3.1121428,101.6935065,5/20/2019,9:46 AM
274,109,31,-8.3848454,123.5560069,4/28/2019,7:23 AM
275,144,41,29.315251,90.599794,5/17/2019,9:58 AM
276,73,56,47.3752386,-0.8453268,12/3/2019,4:32 AM
277,263,18,-6.8637417,107.5902556,12/4/2019,4:23 PM
278,217,42,38.0409665,140.1253371,8/28/2019,1:32 AM
279,136,64,43.1581207,-77.6063541,2/22/2019,11:42 AM
280,22,29,17.2356186,120.4796351,11/29/2019,3:04 PM
281,22,57,15.3680416,-87.9383822,6/17/2019,12:11 PM
282,82,33,30.720497,120.26727,11/28/2019,7:53 AM
283,229,62,52.7189291,58.677007,6/12/2019,2:45 AM
284,108,2,12.1564921,-86.3528838,5/21/2019,12:00 PM
285,239,68,26.1301245,51.1977605,8/4/2019,1:14 AM
286,296,62,-7.9903162,113.7365072,9/1/2019,6:47 AM
287,200,7,-7.6445,108.6451,7/16/2019,5:36 PM
288,118,37,34.746611,113.625328,2/17/2019,2:48 AM
289,273,46,26.480043,113.778639,12/13/2019,10:31 PM
290,46,75,-7.4399956,107.9887402,7/5/2019,7:18 PM
291,202,66,15.1858624,120.5896151,8/25/2019,1:23 PM
292,9,17,59.1575081,18.1350248,6/13/2019,5:25 AM
293,241,62,13.5847649,100.851776,11/24/2019,3:40 AM
294,98,40,-10.9,39.33333,10/16/2019,4:05 PM
295,120,35,60.134938,15.3993708,4/26/2019,1:31 PM
296,169,33,6.948262,3.5079264,9/1/2019,4:53 AM
297,236,71,7.0539999,124.6719971,3/1/2019,5:12 AM
298,197,58,-8.3465933,115.5207358,11/12/2019,1:54 AM
299,209,25,-6.3323352,105.8671954,5/26/2019,12:18 AM
300,274,55,38.779525,70.0979491,9/13/2019,11:49 AM
301,207,75,56.6495031,12.7902265,3/29/2019,5:55 PM
302,226,2,31.26886,-9.183608,1/4/2020,9:47 PM
303,288,38,14.8548895,120.9052447,2/17/2019,8:33 AM
304,287,39,15.0286165,-23.563922,10/12/2019,6:59 PM
305,250,31,-26.8135107,-65.2546997,7/10/2019,5:25 AM
306,55,1,41.04671,-8.52129,7/5/2019,7:56 AM
307,63,2,-2.2027147,115.2778317,2/13/2019,7:29 PM
308,249,42,51.8792137,39.5849504,6/10/2019,6:33 PM
309,115,23,36.545015,104.138586,9/15/2019,1:54 PM
310,56,9,23.012915,104.394157,12/19/2019,5:03 AM
311,36,71,-34.7133717,-58.7231685,7/13/2019,12:21 PM
312,292,47,24.318067,102.518532,8/4/2019,8:28 AM
313,95,79,15.576932,120.4028006,2/19/2019,4:50 PM
314,107,34,45.1501866,20.0069251,5/30/2019,8:41 PM
315,286,76,21.6837923,104.4551361,8/7/2019,10:30 PM
316,177,19,53.8237809,27.8686163,1/29/2019,12:26 AM
317,86,40,58.2774681,11.4424559,7/5/2019,4:32 PM
318,212,37,58.1348867,8.006095,4/12/2019,11:51 AM
319,41,12,-19.6115404,34.7409293,4/7/2019,1:13 PM
320,190,34,26.1628197,50.6275108,8/23/2019,9:33 PM
321,81,41,29.23682,109.31644,2/23/2019,4:28 PM
322,101,56,8.9172672,17.5505152,3/30/2019,4:19 AM
323,113,52,-7.9675395,112.7032945,9/19/2019,4:13 AM
324,226,14,48.8333236,2.4923085,1/1/2020,4:31 AM
325,161,26,-10.7824056,-38.5761383,6/9/2019,1:24 AM
326,75,47,49.904915,30.8369641,1/6/2020,3:47 AM
327,13,72,4.7231169,6.7788461,6/23/2019,10:02 PM
328,294,37,23.241655,111.539333,2/4/2019,4:47 AM
329,67,46,48.1440135,11.6074275,11/17/2019,8:25 PM
330,111,44,53.3383537,31.3972255,11/7/2019,7:12 PM
331,145,69,41.4346593,-8.1962076,11/9/2019,12:38 AM
332,280,63,41.64,-83.54,8/10/2019,9:07 PM
333,166,68,-31.4397154,-64.1251893,5/16/2019,4:43 PM
334,285,31,-8.3932,114.8028,1/29/2019,1:21 AM
335,296,11,51.3666314,6.1313871,3/24/2019,6:41 AM
336,192,76,30.4124334,-84.2831162,12/20/2019,3:46 PM
337,147,58,17.7302207,121.4674111,3/18/2019,11:00 AM
338,97,74,32.9886195,47.4245319,4/30/2019,9:09 AM
339,37,13,32.0947711,20.1879106,2/24/2019,8:44 PM
340,49,65,23.3941709,116.7164574,12/1/2019,7:53 AM
341,140,2,21.857958,111.982232,12/17/2019,9:54 PM
342,132,9,55.813957,37.626119,2/17/2019,11:49 AM
343,181,80,-7.0321604,108.6858533,5/5/2019,6:40 PM
344,235,67,-30.7875929,-57.7771566,4/24/2019,10:01 AM
345,176,22,-6.8008183,107.1781769,12/31/2019,11:05 PM
346,3,44,38.2170269,-7.5422129,9/25/2019,12:23 AM
347,283,43,-7.2723024,112.7837381,9/26/2019,7:07 AM
348,153,39,36.889084,120.51769,4/2/2019,6:28 PM
349,108,52,49.5015691,23.9633999,5/31/2019,11:03 AM
350,27,27,51.6437127,18.6691683,1/6/2020,12:27 PM
351,143,69,59.5336088,18.0725818,2/10/2019,8:41 PM
352,1,28,7.20312,124.796217,5/17/2019,6:55 PM
353,235,20,28.908085,111.59202,5/31/2019,10:28 AM
354,137,61,17.9567646,-102.1943485,4/23/2019,5:26 AM
355,280,5,49.6877756,6.3485626,3/21/2019,12:35 AM
356,9,5,15.52591,47.63339,11/14/2019,3:33 AM
357,158,2,-7.1272731,108.6828838,5/6/2019,7:10 AM
358,232,30,18.4670158,-69.8932436,2/28/2019,6:47 AM
359,245,23,66.3884435,23.639283,8/21/2019,8:29 PM
360,232,69,51.0149751,2.343224,12/7/2019,9:15 AM
361,254,65,45.8377021,-73.4310787,6/4/2019,4:07 AM
362,5,2,-6.7587465,111.6809778,5/5/2019,3:59 PM
363,58,76,-5.2932525,-48.5187229,2/2/2019,4:23 PM
364,65,76,32.643215,110.767599,8/21/2019,5:59 AM
365,183,10,13.3678344,123.3081877,6/4/2019,2:46 PM
366,202,77,4.5943745,-74.0740729,10/23/2019,7:11 AM
367,225,14,40.4339379,21.9055846,7/31/2019,2:39 PM
368,208,58,-7.3063645,110.1209019,10/11/2019,3:59 AM
369,131,31,35.9469003,140.1961209,3/21/2019,3:57 PM
370,196,2,20.762634,109.763659,5/25/2019,5:58 AM
371,10,69,61.1331274,74.8362662,7/9/2019,1:39 PM
372,218,32,39.982718,117.078294,1/15/2019,3:22 PM
373,247,59,59.4487214,17.8043161,9/5/2019,1:09 AM
374,35,26,-0.789275,113.921327,3/13/2019,2:21 PM
375,226,25,48.8567544,2.3510471,12/13/2019,7:27 PM
376,24,55,43.884893,-0.5046003,1/14/2019,1:50 PM
377,220,76,30.108216,104.677091,5/24/2019,5:11 AM
378,125,50,-23.7243543,-45.4306592,2/17/2019,1:43 AM
379,163,78,46.6511382,16.0834627,8/16/2019,11:35 AM
380,147,35,19.0561748,-98.2151462,1/2/2020,1:32 AM
381,119,71,49.902219,20.636949,5/27/2019,12:15 AM
382,229,5,44.692194,85.70601,12/29/2019,8:10 AM
383,287,54,8.9875064,-79.5238103,1/7/2020,2:05 PM
384,235,32,62.3011539,21.4081366,5/15/2019,4:30 AM
385,290,51,38.0120968,23.7725723,8/29/2019,7:01 AM
386,56,48,33.8639888,48.2642387,3/12/2019,10:53 PM
387,70,23,14.8751623,-86.1828047,12/3/2019,1:33 PM
388,97,1,35.3042606,50.5006231,12/2/2019,3:01 AM
389,188,35,61.13336,149.63283,12/14/2019,9:06 AM
390,144,42,28.220406,121.038129,10/22/2019,6:52 AM
391,231,39,-9.7540414,124.3643423,11/12/2019,6:24 AM
392,299,77,9.9153112,123.6091507,12/8/2019,11:05 AM
393,48,58,-22.8262707,-43.0152252,9/26/2019,2:16 AM
394,195,45,14.5560877,121.0155081,5/31/2019,5:49 AM
395,130,72,52.029753,113.5177301,6/2/2019,8:40 PM
396,148,53,17.3233062,103.8680047,11/1/2019,8:49 PM
397,126,15,8.5328493,124.5621837,12/26/2019,10:58 AM
398,299,9,10.752961,122.49448,1/8/2020,6:36 PM
399,113,48,50.5474037,3.5567339,8/20/2019,11:01 PM
400,124,56,47.975777,25.8865511,11/30/2019,4:09 PM
401,93,44,32.993106,97.008784,2/26/2019,7:18 AM
402,254,56,35.7594651,-5.8339543,10/21/2019,10:30 AM
403,29,2,-8.4570858,123.0198024,4/27/2019,4:00 AM
404,223,79,52.8769629,17.950135,8/28/2019,12:39 PM
405,257,66,49.9511113,35.9407539,9/30/2019,7:21 PM
406,43,40,46.689671,126.11386,12/17/2019,2:48 AM
407,51,63,57.995662,114.2615751,4/18/2019,3:46 PM
408,157,46,48.015883,37.80285,10/21/2019,2:56 AM
409,15,52,47.3695152,40.0905465,7/17/2019,9:04 AM
410,154,3,16.0432035,119.9370328,5/22/2019,8:19 AM
411,118,34,22.251924,112.794065,7/29/2019,11:55 AM
412,168,25,41.815997,41.7838101,7/21/2019,11:23 AM
413,165,73,30.606033,118.297302,5/3/2019,12:30 AM
414,15,70,7.5523354,122.1950483,6/1/2019,9:06 PM
415,87,43,-37.9625979,176.9852185,7/3/2019,12:05 AM
416,218,60,-24.7592533,-51.7601166,10/24/2019,11:03 AM
417,25,4,40.657978,109.840313,7/13/2019,2:02 AM
418,163,71,30.5859716,114.2689545,2/11/2019,11:25 PM
419,116,8,10.31128,123.951757,8/22/2019,8:45 PM
420,58,54,-8.1802134,112.5096093,1/25/2019,1:12 AM
421,55,31,-25.8700559,28.158466,8/4/2019,11:06 AM
422,173,8,25.49872,119.790168,10/20/2019,11:50 PM
423,194,6,16.4332711,120.3470571,12/26/2019,5:06 AM
424,185,24,31.627447,121.022581,1/27/2019,11:27 AM
425,202,61,-8.3739,124.4172,10/18/2019,12:48 PM
426,232,30,-7.4574955,108.8408547,11/20/2019,3:55 PM
427,186,55,18.2899888,-77.9530942,5/3/2019,10:44 AM
428,215,71,-12.5909084,-69.1963141,7/5/2019,11:47 PM
429,128,24,-20.0877391,-51.0966063,1/26/2019,8:23 PM
430,125,63,23.296786,113.823135,7/11/2019,1:07 AM
431,71,43,-20.5393288,-47.4013437,3/17/2019,2:05 PM
432,38,72,14.7147473,100.4358552,12/2/2019,3:10 PM
433,188,1,10.1769828,38.1239492,2/20/2019,9:42 PM
434,187,45,-6.8780895,107.6422488,7/23/2019,2:04 PM
435,214,55,55.7279446,93.768409,2/6/2019,10:45 PM
436,160,12,37.2610694,67.3086236,1/9/2020,6:44 AM
437,18,35,8.017253,-72.0616304,6/23/2019,11:25 PM
438,237,27,55.597144,37.0361031,1/4/2020,4:28 AM
